[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[A03AE01, alosetron, The metabolism of Alosetron can be increased when combined with Carbamazepine.]
[L04AC08, canakinumab, The metabolism of Carbamazepine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of adverse effects can be increased when Polythiazide is combined with Carbamazepine.]
[J05AE03, ritonavir, The serum concentration of Ritonavir can be decreased when it is combined with Carbamazepine.]
[A10BH03, saxagliptin, The metabolism of Carbamazepine can be decreased when combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05BA11, prazepam, The metabolism of Prazepam can be increased when combined with Carbamazepine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Carbamazepine.]
[S03BA02, prednisolone, The metabolism of Carbamazepine can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Prednisone.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be increased when combined with Carbamazepine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Carbamazepine can be decreased when combined with Primaquine.]
[N03AA03, primidone, Carbamazepine may increase the Change in thyroid function activities of Primidone.]
[M04AB01, probenecid, The metabolism of Carbamazepine can be increased when combined with Probenecid.]
[C01BA02, procainamide, Carbamazepine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Carbamazepine.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be increased when combined with Carbamazepine.]
[N04AA04, procyclidine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The serum concentration of Progesterone can be decreased when it is combined with Carbamazepine.]
[N05AA03, promazine, The metabolism of Promazine can be increased when combined with Carbamazepine.]
[G03DB07, promegestone, The metabolism of Promegestone can be increased when combined with Carbamazepine.]
[R06AD02, promethazine, Promethazine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C01BC03, propafenone, The metabolism of Propafenone can be increased when combined with Carbamazepine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Propanidid.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Periciazine.]
[N05CM06, propiomazine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Carbamazepine.]
[N01AX10, propofol, The metabolism of Carbamazepine can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Carbamazepine can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be decreased when it is combined with Carbamazepine.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Carbamazepine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be increased when combined with Carbamazepine.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Carbamazepine.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Carbamazepine.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AB15, diphemanil, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Carbamazepine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Styramate.]
[P02CC01, pyrantel, Pyrantel may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Carbamazepine.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Carbamazepine can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Carbamazepine.]
[P01BC01, quinine, The metabolism of Carbamazepine can be increased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be increased when combined with Carbamazepine.]
[C02AA02, reserpine, The metabolism of Carbamazepine can be increased when combined with Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Carbamazepine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Oxitriptan.]
[J01FA06, roxithromycin, The metabolism of Carbamazepine can be decreased when combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be increased when combined with Carbamazepine.]
[N05CA06, secobarbital, Carbamazepine may increase the Change in thyroid function activities of Secobarbital.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Sisomicin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A12CD01, sodium fluoride, Sodium fluoride may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Carbamazepine.]
[H01CB01, somatostatin, The metabolism of Carbamazepine can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Carbamazepine.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Carbamazepine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Carbamazepine.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Technetium Tc-99m exametazime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Florbetaben (18F) may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N03AG01, valproic acid, The serum concentration of carbamazepine-10,11­ epoxide (CBZ-E), an active metabolite of Carbamazepine, can be increased when used in combination with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Carbamazepine can be increased when combined with Hydrocortisone butyrate.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AE02, indinavir, Strong CYP3A4 inducers - protease inhibitors]
