[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Mometasone furoate.]
[A10BB02, chlorpropamide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Chlorpropamide.]
[C03BA04, chlorthalidone, Mometasone furoate may increase the hypokalemic activities of Chlorthalidone.]
[A11CC05, cholecalciferol, The therapeutic efficacy of Cholecalciferol can be decreased when used in combination with Mometasone furoate.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine may increase the excretion rate of Mometasone furoate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DC06, ethynodiol, The serum concentration of Mometasone furoate can be increased when it is combined with Etynodiol.]
[M01AB08, etodolac, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Mometasone furoate can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Mometasone furoate can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Mometasone furoate.]
[L02BX04, relugolix, The metabolism of Relugolix can be increased when combined with Mometasone furoate.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Voclosporin is combined with Mometasone furoate.]
[P03AX07, abametapir, The serum concentration of Mometasone furoate can be increased when it is combined with Abametapir.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Fenbufen.]
[G04CB01, finasteride, The metabolism of Finasteride can be increased when combined with Mometasone furoate.]
[J01MB07, flumequine, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Mometasone furoate.]
[A10AF01, insulin, regular, human, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Ponesimod is combined with Mometasone furoate.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Mometasone furoate.]
[J01MB06, cinoxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Mometasone furoate can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Mometasone furoate.]
[S03AA07, ciprofloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Cisplatin can be decreased when used in combination with Mometasone furoate.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The serum concentration of the active metabolites of Mometasone furoate can be decreased when Mometasone furoate is used in combination with Somapacitan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Mometasone furoate.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Mometasone furoate.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Anifrolumab is combined with Mometasone furoate.]
[H01AC09, lonapegsomatropin, The serum concentration of the active metabolites of Mometasone furoate can be decreased when Mometasone furoate is used in combination with Lonapegsomatropin.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be increased when combined with Mometasone furoate.]
[A10BB12, glimepiride, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Clenbuterol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Mometasone furoate.]
[N06AX25, St. John's wort extract, The metabolism of Mometasone furoate can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Ropeginterferon alfa-2b.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Mometasone furoate.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Mometasone furoate.]
[C01EB24, mavacamten, The serum concentration of Mometasone furoate can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Tirzepatide.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be increased when combined with Mometasone furoate.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be increased when combined with Mometasone furoate.]
[N05AH02, clozapine, The metabolism of Mometasone furoate can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Sotagliflozin.]
[H01AC08, somatrogon, The serum concentration of the active metabolites of Mometasone furoate can be reduced when Mometasone furoate is used in combination with Somatrogon resulting in a loss in efficacy.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Bimekizumab is combined with Mometasone furoate.]
[M01AX13, proquazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Proquazone.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Mometasone furoate.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Leflunomide.]
[A02AD04, hydrotalcite, The bioavailability of Mometasone furoate can be decreased when combined with Hydrotalcite.]
[A10BX03, nateglinide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Mecasermin.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Mometasone furoate.]
[A10AE04, insulin glargine, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Mometasone furoate can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Mometasone furoate.]
[B01AC10, indobufen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Indobufen.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Mometasone furoate.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Lanatoside C.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Mometasone furoate.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Mometasone furoate can be decreased when combined with Itraconazole.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Mometasone furoate.]
[J02AC04, posaconazole, The metabolism of Mometasone furoate can be decreased when combined with Posaconazole.]
[S01AE04, lomefloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Lonazolac.]
