[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[V04CG05, methylene blue, The metabolism of Acetaminophen can be decreased when combined with Methylene blue.]
[R03DA05, aminophylline, Aminophylline may increase the hepatotoxic activities of Acetaminophen.]
[N03AF03, rufinamide, Rufinamide may increase the hepatotoxic activities of Acetaminophen.]
[G03EK01, methyltestosterone, Acetaminophen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Acetaminophen.]
[A03FA01, metoclopramide, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Acetaminophen can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Acetaminophen.]
[V04CD01, metyrapone, Metyrapone may increase the hepatotoxic activities of Acetaminophen.]
[C01BB02, mexiletine, The metabolism of Acetaminophen can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Acetaminophen.]
[S02AA13, miconazole, Miconazole may increase the hepatotoxic activities of Acetaminophen.]
[N02BB03, aminopyrine, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Aminophenazone.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Acetaminophen.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Acetaminophen.]
[J05AH01, zanamivir, Acetaminophen may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[L01XX23, mitotane, The metabolism of Acetaminophen can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The metabolism of Acetaminophen can be increased when combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The metabolism of Acetaminophen can be decreased when combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, Aldesleukin may increase the hepatotoxic activities of Acetaminophen.]
[C01BD01, amiodarone, The metabolism of Acetaminophen can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Acetaminophen.]
[A04AA05, palonosetron, Acetaminophen may decrease the excretion rate of Palonosetron which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Acetaminophen can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Acetaminophen can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Acetaminophen.]
[L04AA06, mycophenolic acid, Acetaminophen may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, The metabolism of Acetaminophen can be increased when combined with Amobarbital.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Acetaminophen.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be increased when combined with Acetaminophen.]
[L03AB08, interferon beta-1b, The metabolism of Acetaminophen can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Acetaminophen may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Acetaminophen may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[J01CF06, nafcillin, The metabolism of Acetaminophen can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Acetaminophen can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Acetaminophen can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Acetaminophen can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Acetaminophen can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, Acetaminophen may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Acetaminophen.]
[L02BG04, letrozole, The metabolism of Acetaminophen can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Acetaminophen may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Acetaminophen may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Acetaminophen.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[S01AA19, ampicillin, Acetaminophen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Acetaminophen may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Acetaminophen may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Acetaminophen can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[C01CE01, inamrinone, Acetaminophen may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Acetaminophen can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Acetaminophen can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Acetaminophen.]
[P02DA01, niclosamide, The metabolism of Acetaminophen can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, Nicotine may increase the hepatotoxic activities of Acetaminophen.]
[C08CA05, nifedipine, Nifedipine may increase the hepatotoxic activities of Acetaminophen.]
[M02AA17, niflumic acid, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Amyl Nitrite.]
[C08CA07, nisoldipine, Acetaminophen may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[N05CD02, nitrazepam, Nitrazepam may increase the hepatotoxic activities of Acetaminophen.]
[R07AX01, nitric oxide, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Nitrofurantoin.]
[N05CF03, zaleplon, Acetaminophen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Acetaminophen may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Nitrous oxide.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Acetaminophen.]
[S01AE02, norfloxacin, The metabolism of Acetaminophen can be decreased when combined with Norfloxacin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Acetaminophen.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Acetaminophen.]
[L03AB07, interferon beta-1a, The metabolism of Acetaminophen can be decreased when combined with Interferon beta-1a.]
[L04AC04, rilonacept, The metabolism of Acetaminophen can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Acetaminophen can be increased when combined with Omeprazole.]
[N02AA02, opium, Acetaminophen may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Acetaminophen may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Acetaminophen may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Acetaminophen can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Acetaminophen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, The metabolism of Acetaminophen can be decreased when combined with Oxprenolol.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Acetaminophen.]
[S01BC02, oxyphenbutazone, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Oxyphenbutazone.]
[J04AA01, aminosalicylic acid, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Aminosalicylic acid.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Acetaminophen.]
[J04AB30, capreomycin, Acetaminophen may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Acetaminophen.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Acetaminophen can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Acetaminophen may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Acetaminophen may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[J01CE09, penicillin G procaine, Acetaminophen may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
