[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dasatinib.]
[P02CF01, ivermectin, Dasatinib may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Bivalirudin.]
[H01AC01, somatropin, The metabolism of Dasatinib can be increased when combined with Somatotropin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC07, tocilizumab, The metabolism of Dasatinib can be increased when combined with Tocilizumab.]
[C02KD01, ketanserin, Dasatinib may increase the anticoagulant activities of Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Dasatinib can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AC03, deferasirox, The serum concentration of Dasatinib can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Dasatinib can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Mizolastine.]
[J01MB02, nalidixic acid, The metabolism of Dasatinib can be decreased when combined with Nalidixic acid.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Dasatinib.]
[N03AX18, lacosamide, The metabolism of Dasatinib can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Dasatinib.]
[G03AD01, levonorgestrel, The metabolism of Dasatinib can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Dasatinib can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Dasatinib.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Dasatinib.]
[A07DA03, loperamide, The serum concentration of Dasatinib can be increased when it is combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Dasatinib.]
[N05AH01, loxapine, The serum concentration of Dasatinib can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Dasatinib can be increased when it is combined with Temsirolimus.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Dasatinib is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Dasatinib can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Dasatinib can be increased when it is combined with Mannitol.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Dasatinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Dasatinib.]
[P01BC02, mefloquine, The serum concentration of Dasatinib can be increased when it is combined with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Dalteparin.]
[N05CH01, melatonin, The metabolism of Dasatinib can be decreased when combined with Melatonin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Dasatinib.]
[N02AB02, meperidine, The metabolism of Dasatinib can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Dasatinib can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Dasatinib can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Dasatinib can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Mesoridazine.]
[N05AX13, paliperidone, The serum concentration of Dasatinib can be increased when it is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Dolasetron.]
[H01CB03, lanreotide, The metabolism of Dasatinib can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Dasatinib can be decreased when combined with Methadone.]
[A03AB07, methantheline, Methantheline can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AF05, lamivudine, Dasatinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[H03BB02, methimazole, The metabolism of Dasatinib can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Dasatinib.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Dasatinib.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Dasatinib can be decreased when combined with Methoxsalen.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Dasatinib.]
[V04CG05, methylene blue, The serum concentration of Dasatinib can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Dasatinib can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Dasatinib.]
[H02AB04, methylprednisolone, The metabolism of Dasatinib can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Dasatinib can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The metabolism of Dasatinib can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Dasatinib.]
[P01AB01, metronidazole, The metabolism of Dasatinib can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Dasatinib can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Dasatinib can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Dasatinib.]
[S02AA13, miconazole, The metabolism of Dasatinib can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Dasatinib.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Dasatinib.]
[G03XB01, mifepristone, The serum concentration of Dasatinib can be decreased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Tinzaparin.]
[J01FA11, miocamycin, The metabolism of Dasatinib can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Dasatinib can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Dasatinib.]
[L03AC01, aldesleukin, The metabolism of Dasatinib can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Dasatinib can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Dasatinib can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The serum concentration of Dasatinib can be increased when it is combined with Morphine.]
[L04AB05, certolizumab pegol, The metabolism of Dasatinib can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, Eltrombopag may decrease the excretion rate of Dasatinib which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Dasatinib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Dasatinib.]
[N05CA02, amobarbital, The metabolism of Dasatinib can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Dasatinib.]
[G04CA04, silodosin, The serum concentration of Dasatinib can be increased when it is combined with Silodosin.]
[G03XC01, raloxifene, The metabolism of Dasatinib can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Dasatinib.]
[N03AB05, fosphenytoin, The metabolism of Dasatinib can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Dasatinib.]
[J01CF06, nafcillin, The metabolism of Dasatinib can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Dasatinib can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Dasatinib can be increased when combined with Anakinra.]
[M02AA12, naproxen, The metabolism of Dasatinib can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Dasatinib can be increased when combined with Troglitazone.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Dasatinib.]
