[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[S01AA21, amikacin, Amikacin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[A07DA03, loperamide, The serum concentration of Loperamide can be increased when it is combined with Tenofovir disoproxil.]
[N05BA06, lorazepam, Tenofovir disoproxil may decrease the excretion rate of Lorazepam which could result in a higher serum level.]
[N05AH01, loxapine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Tenofovir disoproxil may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Tenofovir disoproxil may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Tenofovir disoproxil may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tenofovir disoproxil.]
[N06AA21, maprotiline, Tenofovir disoproxil may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Tenofovir disoproxil may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[P01BC02, mefloquine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The excretion of Tenofovir disoproxil can be decreased when combined with Melatonin.]
[N06DX01, memantine, Tenofovir disoproxil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Tenofovir disoproxil may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N01BB03, mepivacaine, Tenofovir disoproxil may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Tenofovir disoproxil may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Paliperidone.]
[A10BA02, metformin, Tenofovir disoproxil may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N07BC02, methadone, Tenofovir disoproxil may decrease the excretion rate of Methadone which could result in a higher serum level.]
[N06BA03, methamphetamine, Tenofovir disoproxil may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Tenofovir disoproxil may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Tenofovir disoproxil may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Tenofovir disoproxil may decrease the excretion rate of Pyridoxine which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may increase the nephrotoxic activities of Tenofovir disoproxil.]
[D05BA02, methoxsalen, Tenofovir disoproxil may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Tenofovir disoproxil may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Methylene blue.]
[G03EK01, methyltestosterone, The excretion of Tenofovir disoproxil can be increased when combined with Methyltestosterone.]
[A03FA01, metoclopramide, Tenofovir disoproxil may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Tenofovir disoproxil may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[V04CD01, metyrapone, Tenofovir disoproxil may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, Aminophenazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N05CD08, midazolam, Tenofovir disoproxil may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Tenofovir disoproxil may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[J01AA08, minocycline, The excretion of Tenofovir disoproxil can be decreased when combined with Minocycline.]
[L03AC01, aldesleukin, Tenofovir disoproxil may decrease the excretion rate of Aldesleukin which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, Tenofovir disoproxil may decrease the excretion rate of Amitriptyline which could result in a higher serum level.]
[N02AA01, morphine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Morphine.]
[A04AA05, palonosetron, Tenofovir disoproxil may decrease the excretion rate of Palonosetron which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L04AB05, certolizumab pegol, Tenofovir disoproxil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Tenofovir disoproxil may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Tenofovir disoproxil.]
[L04AA06, mycophenolic acid, Tenofovir disoproxil may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[G04CA04, silodosin, The serum concentration of Silodosin can be increased when it is combined with Tenofovir disoproxil.]
[N03AB05, fosphenytoin, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Fosphenytoin.]
[C07AA12, nadolol, Tenofovir disoproxil may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Tenofovir disoproxil may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[J01CF06, nafcillin, The excretion of Tenofovir disoproxil can be decreased when combined with Nafcillin.]
[V03AB15, naloxone, Tenofovir disoproxil may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Tenofovir disoproxil may decrease the excretion rate of Amphetamine which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX21, duloxetine, Tenofovir disoproxil may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N04BX01, tolcapone, Tenofovir disoproxil may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Tenofovir disoproxil is combined with Neomycin.]
[B01AC17, tirofiban, Tenofovir disoproxil may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01AA19, ampicillin, Tenofovir disoproxil may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Tenofovir disoproxil may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Netilmicin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX23, desvenlafaxine, Tenofovir disoproxil may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C01CE01, inamrinone, Tenofovir disoproxil may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA05, nifedipine, Tenofovir disoproxil may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C08CA07, nisoldipine, Tenofovir disoproxil may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[R07AX01, nitric oxide, Tenofovir disoproxil may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Tenofovir disoproxil may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Tenofovir disoproxil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Tenofovir disoproxil may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Tenofovir disoproxil may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[S01AE02, norfloxacin, The excretion of Tenofovir disoproxil can be decreased when combined with Norfloxacin.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Tenofovir disoproxil.]
[A16AX07, sapropterin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Sapropterin.]
[S02AA16, ofloxacin, The excretion of Tenofovir disoproxil can be decreased when combined with Ofloxacin.]
