[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Perindopril can be decreased when used in combination with Oxymetazoline.]
[S01BC02, oxyphenbutazone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Oxyphenbutazone is combined with Perindopril.]
[J04AA01, aminosalicylic acid, The risk or severity of renal failure can be increased when Aminosalicylic acid is combined with Perindopril.]
[N05AH05, asenapine, Asenapine may decrease the antihypertensive activities of Perindopril.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Danaparoid.]
[J04AB30, capreomycin, Perindopril may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Perindopril is combined with Papaverine.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Perindopril.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[G04BD11, fesoterodine, Perindopril may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Perindopril may increase the hypotensive activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Perindopril may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Perindopril.]
[L01XX08, pentostatin, Perindopril may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Perindopril.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Perindopril.]
[C08EX02, perhexiline, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Perhexiline.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Perindopril.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Perindopril.]
[C04AX02, phenoxybenzamine, Phenoxybenzamine may decrease the antihypertensive activities of Perindopril.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Perindopril.]
[V03AB36, phentolamine, Phentolamine may decrease the antihypertensive activities of Perindopril.]
[M02AA01, phenylbutazone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Phenylbutazone is combined with Perindopril.]
[S01GA05, phenylephrine, Phenylephrine may decrease the antihypertensive activities of Perindopril.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Perindopril.]
[S01AE05, levofloxacin, Perindopril may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Perindopril may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C08CX01, mibefradil, Perindopril may increase the hypotensive activities of Mibefradil.]
[C07AA03, pindolol, Perindopril may increase the hypotensive activities of Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N06BX03, piracetam, Perindopril may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Perindopril is combined with Eprosartan.]
[S01BC06, piroxicam, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Piroxicam is combined with Perindopril.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N02CX01, pizotyline, Pizotifen may decrease the antihypertensive activities of Perindopril.]
[C09CA04, irbesartan, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Perindopril is combined with Irbesartan.]
[S01XA13, alteplase, The risk or severity of angioedema can be increased when Perindopril is combined with Alteplase.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C03AA05, polythiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Polythiazide.]
[A10BH03, saxagliptin, The risk or severity of angioedema can be increased when Saxagliptin is combined with Perindopril.]
[B05XA01, potassium chloride, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Perindopril.]
[V03AB21, potassium iodide, The risk or severity of hyperkalemia can be increased when Potassium Iodide is combined with Perindopril.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin lispro.]
[C07AB01, practolol, Perindopril may increase the hypotensive activities of Practolol.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Perindopril.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C01DX02, prenylamine, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Prenylamine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Perindopril.]
[M04AB01, probenecid, Perindopril may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Perindopril may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Perindopril.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Perindopril.]
[C10AB05, fenofibrate, Perindopril may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AA03, promazine, Promazine may decrease the antihypertensive activities of Perindopril.]
[R06AD02, promethazine, Perindopril may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, Propafenone may decrease the antihypertensive activities of Perindopril.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AC01, periciazine, Periciazine may decrease the antihypertensive activities of Perindopril.]
[N05CM06, propiomazine, Propiomazine may decrease the antihypertensive activities of Perindopril.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Perindopril.]
[C07AA05, propranolol, Propranolol may increase the hypotensive activities of Perindopril.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Perindopril.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Perindopril.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Perindopril.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Perindopril.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Perindopril.]
[N07XX07, dalfampridine, Perindopril may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Perindopril may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[A12BA05, potassium gluconate, The risk or severity of hyperkalemia can be increased when Potassium gluconate is combined with Perindopril.]
[C01BA01, quinidine, Perindopril may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, Quinine may increase the hypotensive activities of Perindopril.]
[A02BA02, ranitidine, Perindopril may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA01, rescinnamine, The risk or severity of angioedema can be increased when Perindopril is combined with Rescinnamine.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Perindopril.]
[J05AP01, ribavirin, Perindopril may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Perindopril.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Perindopril.]
[N02BA05, salicylamide, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Salicylamide is combined with Perindopril.]
[A07EC01, sulfasalazine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Sulfasalazine is combined with Perindopril.]
[S01BC08, salicylic acid, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Salicylic acid is combined with Perindopril.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Perindopril.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Perindopril.]
[L01FA03, obinutuzumab, Perindopril may increase the hypotensive activities of Obinutuzumab.]
