[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Doxepin.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L04AC08, canakinumab, The metabolism of Doxepin can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Doxepin may increase the neurotoxic activities of Polymyxin B.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Doxepin can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Doxepin may decrease the hypoglycemic activities of Saxagliptin.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Doxepin is combined with Potassium chloride.]
[V03AB21, potassium iodide, The risk or severity of Cardiac Arrhythmia can be increased when Potassium Iodide is combined with Doxepin.]
[A10AD04, insulin lispro, Doxepin may decrease the hypoglycemic activities of Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Doxepin.]
[C07AB01, practolol, Practolol may increase the orthostatic hypotensive activities of Doxepin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Prajmaline.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[P02BA01, praziquantel, The metabolism of Doxepin can be decreased when combined with Praziquantel.]
[C02CA01, prazosin, Prazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Antazoline.]
[M02AA16, feprazone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Feprazone.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Doxepin is combined with Prenylamine.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[P01BA03, primaquine, The metabolism of Doxepin can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Doxepin can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Doxepin can be decreased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Doxepin.]
[S01HA05, procaine, Procaine may increase the serotonergic activities of Doxepin.]
[L01XB01, procarbazine, Procarbazine may increase the serotonergic activities of Doxepin.]
[C10AB05, fenofibrate, The metabolism of Doxepin can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The serum concentration of Doxepin can be increased when it is combined with Prochlorperazine.]
[N04AA04, procyclidine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Doxepin can be decreased when combined with Progesterone.]
[N05AA03, promazine, Promazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[R06AD02, promethazine, The serum concentration of Doxepin can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Doxepin can be decreased when combined with Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A03AB05, propantheline, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Propiomazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Romidepsin.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Doxepin is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Propranolol may increase the orthostatic hypotensive activities of Doxepin.]
[H03BA02, propylthiouracil, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Doxepin.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[B01AC09, epoprostenol, Doxepin may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Doxepin can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Doxepin.]
[N05AX12, aripiprazole, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Doxepin is combined with Dalfampridine.]
[A03AB15, diphemanil, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01BA01, quinidine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[P01BC01, quinine, The metabolism of Doxepin can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Doxepin can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Doxepin may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Doxepin can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Doxepin.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Doxepin.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Salicylic acid.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CA06, secobarbital, The metabolism of Doxepin can be increased when combined with Secobarbital.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Doxepin.]
[N04BD01, selegiline, Selegiline may increase the serotonergic activities of Doxepin.]
[J01GB08, sisomicin, Doxepin may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Doxepin may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Doxepin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Doxepin.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Doxepin can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Doxepin is combined with Ipratropium.]
[N06AF04, tranylcypromine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AF01, isocarboxazid, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AF03, phenelzine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
