[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[N06AA02, imipramine, The serum concentration of Lamivudine can be increased when it is combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Paclitaxel.]
[R01AD07, tixocortol, Lamivudine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Lamivudine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A11HA07, inositol, Lamivudine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Lamivudine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, The serum concentration of Lamivudine can be increased when it is combined with Varenicline.]
[A10BH01, sitagliptin, Lamivudine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05CH02, ramelteon, Lamivudine may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Lamivudine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Ipecac.]
[G04BE01, alprostadil, The excretion of Lamivudine can be decreased when combined with Alprostadil.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Isoniazid.]
[J05AX05, inosine pranobex, Lamivudine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Lamivudine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Isotretinoin.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Lamivudine.]
[S01AA24, kanamycin, Lamivudine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Lamivudine.]
[N01AX03, ketamine, Lamivudine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Lamivudine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[H02CA04, levoketoconazole, The serum concentration of Lamivudine can be increased when it is combined with Levoketoconazole.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N04BB01, amantadine, The serum concentration of Lamivudine can be increased when it is combined with Amantadine.]
[A06AX03, lubiprostone, Lamivudine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA21, amikacin, Lamivudine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The serum concentration of Lamivudine can be increased when it is combined with Amiloride.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C10AA02, lovastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lovastatin is combined with Lamivudine.]
[B05XA11, magnesium chloride, Lamivudine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Lamivudine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Lamivudine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, Nilotinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Lamivudine may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Lamivudine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Lamivudine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N01BB03, mepivacaine, Lamivudine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Lamivudine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Lamivudine may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06BA03, methamphetamine, Lamivudine may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Lamivudine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[J01MB02, nalidixic acid, The excretion of Lamivudine can be decreased when combined with Nalidixic acid.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Lamivudine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Lamivudine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methotrexate is combined with Lamivudine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Methyldopa.]
[V04CG05, methylene blue, The serum concentration of Lamivudine can be increased when it is combined with Methylene blue.]
[G03EK01, methyltestosterone, Lamivudine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The serum concentration of Lamivudine can be increased when it is combined with Metoprolol.]
[V04CD01, metyrapone, Lamivudine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Minocycline.]
