[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[J05AE03, ritonavir, The serum concentration of Imipramine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Imipramine may decrease the hypoglycemic activities of Saxagliptin.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Imipramine is combined with Potassium chloride.]
[V03AB21, potassium iodide, The risk or severity of Cardiac Arrhythmia can be increased when Potassium Iodide is combined with Imipramine.]
[A10AD04, insulin lispro, Imipramine may decrease the hypoglycemic activities of Insulin lispro.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Imipramine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Imipramine.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Imipramine.]
[C02CA01, prazosin, Prazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Imipramine.]
[H02AB07, prednisone, Imipramine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Antazoline.]
[M02AA16, feprazone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Feprazone.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Imipramine is combined with Prenylamine.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[P01BA03, primaquine, The metabolism of Imipramine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Imipramine can be increased when combined with Primidone.]
[M04AB01, probenecid, Imipramine may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Imipramine.]
[S01HA05, procaine, Procaine may increase the serotonergic activities of Imipramine.]
[L01XB01, procarbazine, Procarbazine may increase the serotonergic activities of Imipramine.]
[C10AB05, fenofibrate, The metabolism of Imipramine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Imipramine.]
[N04AA04, procyclidine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Imipramine.]
[N05AA03, promazine, Promazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Imipramine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Imipramine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Imipramine.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A03AB05, propantheline, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[R06AX26, fexofenadine, The serum concentration of Imipramine can be increased when it is combined with Fexofenadine.]
[N05AC01, periciazine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Romidepsin.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Imipramine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Imipramine.]
[H03BA02, propylthiouracil, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Imipramine.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[B01AC09, epoprostenol, Imipramine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Imipramine.]
[N05AX12, aripiprazole, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Imipramine is combined with Dalfampridine.]
[A03AB15, diphemanil, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, The metabolism of Imipramine can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Imipramine.]
[A02BA02, ranitidine, The metabolism of Imipramine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Imipramine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The serum concentration of Imipramine can be increased when it is combined with Reserpine.]
[J05AP01, ribavirin, Imipramine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Imipramine can be decreased when it is combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Imipramine.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Imipramine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Salicylic acid.]
[S01FA02, scopolamine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Imipramine can be increased when combined with Secobarbital.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Imipramine.]
[N04BD01, selegiline, Selegiline may increase the serotonergic activities of Imipramine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Imipramine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Imipramine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Imipramine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Imipramine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Imipramine.]
[L01CD04, cabazitaxel, The serum concentration of Imipramine can be increased when it is combined with Cabazitaxel.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Imipramine is combined with Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The metabolism of Imipramine can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Imipramine may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Tiaprofenic acid.]
