[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Tenofovir alafenamide.]
[V03AB36, phentolamine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Phentolamine.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N03AB02, phenytoin, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Tenofovir alafenamide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Tenofovir alafenamide.]
[B02BA01, vitamin K1, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Phylloquinone.]
[J05AB12, cidofovir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cidofovir.]
[C08CX01, mibefradil, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Tenofovir alafenamide.]
[C07AA03, pindolol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pindolol.]
[C10AA05, atorvastatin, The excretion of Tenofovir alafenamide can be decreased when combined with Atorvastatin.]
[J01CA12, piperacillin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Saquinavir.]
[N06BX03, piracetam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Piracetam.]
[S01BC06, piroxicam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J05AG02, delavirdine, The metabolism of Tenofovir alafenamide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Tenofovir alafenamide can be decreased when combined with Irbesartan.]
[A10BG02, rosiglitazone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Rosiglitazone.]
[L04AC08, canakinumab, The metabolism of Tenofovir alafenamide can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Tenofovir alafenamide is combined with Polymyxin B.]
[J05AE03, ritonavir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Saxagliptin.]
[B05XA01, potassium chloride, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Potassium chloride.]
[C10AA08, pitavastatin, The excretion of Tenofovir alafenamide can be decreased when combined with Pitavastatin.]
[S03BA02, prednisolone, The metabolism of Tenofovir alafenamide can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Prednisone.]
[P01BA03, primaquine, The metabolism of Tenofovir alafenamide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Primidone.]
[M04AB01, probenecid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Procainamide.]
[C10AB05, fenofibrate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fenofibrate.]
[G03DA04, progesterone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Progesterone.]
[R06AD02, promethazine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Propafenone.]
[A03AB05, propantheline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Propantheline.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Tenofovir alafenamide.]
[N01AX10, propofol, The metabolism of Tenofovir alafenamide can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Tenofovir alafenamide can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Propranolol.]
[N02CC04, rizatriptan, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Rizatriptan.]
[B01AC09, epoprostenol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Epoprostenol.]
[N07XX07, dalfampridine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dalfampridine.]
[P02CC01, pyrantel, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pyrantel.]
[J04AK01, pyrazinamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pyrazinamide.]
[C01BA01, quinidine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ranitidine.]
[C02AA02, reserpine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Reserpine.]
[J05AP01, ribavirin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ribavirin.]
[S01XA26, riboflavin, The excretion of Tenofovir alafenamide can be decreased when combined with Riboflavin.]
[J04AB02, rifampin, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Rifampicin.]
[J01FA06, roxithromycin, The excretion of Tenofovir alafenamide can be decreased when combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may increase the nephrotoxic activities of Tenofovir alafenamide.]
[A07EC01, sulfasalazine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sulfasalazine.]
[S01BC08, salicylic acid, Salicylic acid may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N05CA06, secobarbital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Secobarbital.]
[J01GB08, sisomicin, Sisomicin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[A12CD01, sodium fluoride, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sodium fluoride.]
[H01CB01, somatostatin, The metabolism of Tenofovir alafenamide can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sorbitol.]
[L01CD04, cabazitaxel, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cabazitaxel.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Tenofovir alafenamide.]
[V09AB03, ioflupane I-123, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ioflupane I-123.]
[V09AA01, technetium Tc 99m exametazime, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Technetium Tc-99m exametazime.]
[V09AX06, florbetaben f-18, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Florbetaben (18F).]
[N03AG01, valproic acid, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Valproic acid.]
[M05BA01, etidronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir alafenamide is combined with Etidronic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Tenofovir alafenamide can be increased when combined with Hydrocortisone butyrate.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Emtricitabine which could result in a higher serum level.]
[C08DA01, verapamil, The excretion of Emtricitabine can be decreased when combined with Verapamil.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Emtricitabine.]
[L01ED04, brigatinib, The excretion of Emtricitabine can be decreased when combined with Brigatinib.]
[L01EF03, abemaciclib, The excretion of Abemaciclib can be decreased when combined with Emtricitabine.]
[J01GB14, plazomicin, The excretion of Emtricitabine can be decreased when combined with Plazomicin.]
[P01BA07, tafenoquine, The excretion of Emtricitabine can be decreased when combined with Tafenoquine.]
[L01EX13, gilteritinib, The excretion of Emtricitabine can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The excretion of Emtricitabine can be decreased when combined with Glasdegib.]
[N06BA14, solriamfetol, The excretion of Solriamfetol can be decreased when combined with Emtricitabine.]
[L01EX15, pexidartinib, The excretion of Emtricitabine can be decreased when combined with Pexidartinib.]
[L01EJ02, fedratinib, The excretion of Emtricitabine can be decreased when combined with Fedratinib.]
[N04CX01, istradefylline, The excretion of Emtricitabine can be decreased when combined with Istradefylline.]
[J01DB01, cephalexin, The excretion of Emtricitabine can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The excretion of Cefradine can be decreased when combined with Emtricitabine.]
[L01XX72, tazemetostat, The excretion of Emtricitabine can be decreased when combined with Tazemetostat.]
[J05AB16, remdesivir, The excretion of Emtricitabine can be decreased when combined with Remdesivir.]
[L01EH03, tucatinib, The excretion of Emtricitabine can be decreased when combined with Tucatinib.]
[L01EX17, capmatinib, The excretion of Emtricitabine can be decreased when combined with Capmatinib.]
