[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Physostigmine.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Clozapine.]
[B02BA01, vitamin K1, Clozapine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of hypotension can be increased when Clozapine is combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Clozapine can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Clozapine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Clozapine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Clozapine.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Clozapine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Clozapine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Clozapine.]
[N06BX03, piracetam, Clozapine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Clozapine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Clozapine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Clozapine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Clozapine is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Clozapine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Clozapine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Clozapine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Clozapine.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L04AC08, canakinumab, The metabolism of Clozapine can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Clozapine may increase the neurotoxic activities of Polymyxin B.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Clozapine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Clozapine.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Clozapine is combined with Potassium chloride.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Clozapine.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Clozapine.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Clozapine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Clozapine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Clozapine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Clozapine.]
[C02CA01, prazosin, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Prazosin.]
[S03BA02, prednisolone, The metabolism of Prednisolone can be decreased when combined with Clozapine.]
[H02AB07, prednisone, The metabolism of Prednisone can be decreased when combined with Clozapine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Clozapine is combined with Prenylamine.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[P01BA03, primaquine, The metabolism of Clozapine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Clozapine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Clozapine can be decreased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Clozapine.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Clozapine.]
[L01XB01, procarbazine, The risk or severity of neutropenia can be increased when Procarbazine is combined with Clozapine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Clozapine.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Clozapine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Clozapine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Clozapine.]
[N05AA03, promazine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Promazine.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Clozapine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Clozapine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Clozapine.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A03AB05, propantheline, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Clozapine.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Clozapine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Clozapine.]
[H03BA02, propylthiouracil, The risk or severity of neutropenia can be increased when Propylthiouracil is combined with Clozapine.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[B01AC09, epoprostenol, Clozapine may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Clozapine.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Clozapine.]
[N05AX12, aripiprazole, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Clozapine is combined with Dalfampridine.]
[A03AB15, diphemanil, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
