[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V04CG05, methylene blue, Levofloxacin may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Levofloxacin.]
[H02AB04, methylprednisolone, The risk or severity of tendinopathy can be increased when Methylprednisolone is combined with Levofloxacin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of tendinopathy can be increased when Methylprednisolone aceponate is combined with Levofloxacin.]
[G03EK01, methyltestosterone, Levofloxacin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Levofloxacin.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Levofloxacin.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01CA10, mezlocillin, The serum concentration of Levofloxacin can be increased when it is combined with Mezlocillin.]
[N02BB03, aminopyrine, Aminophenazone may increase the neuroexcitatory activities of Levofloxacin.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01AA08, minocycline, The excretion of Levofloxacin can be decreased when combined with Minocycline.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Amiodarone.]
[N06AA09, amitriptyline, Levofloxacin may increase the QTc-prolonging activities of Amitriptyline.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Levofloxacin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Levofloxacin may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Levofloxacin.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Levofloxacin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Levofloxacin.]
[C07AA12, nadolol, Levofloxacin may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Levofloxacin is combined with Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Levofloxacin can be increased when it is combined with Nafcillin.]
[V03AB15, naloxone, Levofloxacin may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may increase the neuroexcitatory activities of Levofloxacin.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Levofloxacin.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S03AA01, neomycin, Levofloxacin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Levofloxacin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Levofloxacin.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01AA19, ampicillin, The serum concentration of Levofloxacin can be increased when it is combined with Ampicillin.]
[L03AX16, plerixafor, Levofloxacin may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Levofloxacin may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Levofloxacin may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01CE01, inamrinone, Levofloxacin may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Levofloxacin.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Levofloxacin.]
[M02AA17, niflumic acid, Niflumic acid may increase the neuroexcitatory activities of Levofloxacin.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Levofloxacin.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Levofloxacin.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Levofloxacin can be decreased when used in combination with Nitrofurantoin.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Levofloxacin.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Levofloxacin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Levofloxacin.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ofloxacin.]
[N02AA02, opium, Levofloxacin may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01CF04, oxacillin, The serum concentration of Levofloxacin can be increased when it is combined with Oxacillin.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Levofloxacin.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the neuroexcitatory activities of Levofloxacin.]
[S01AA04, oxytetracycline, The excretion of Levofloxacin can be decreased when combined with Oxytetracycline.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Levofloxacin.]
[V04CH30, 4-aminohippuric acid, The excretion of Levofloxacin can be decreased when combined with Aminohippuric acid.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Asenapine.]
[J04AB30, capreomycin, Levofloxacin may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Levofloxacin.]
[H02AB05, paramethasone, The risk or severity of tendinopathy can be increased when Paramethasone is combined with Levofloxacin.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Levofloxacin.]
