[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Quinidine.]
[C01DX02, prenylamine, Quinidine may increase the arrhythmogenic activities of Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Quinidine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The serum concentration of Primidone can be increased when it is combined with Quinidine.]
[M04AB01, probenecid, The metabolism of Quinidine can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Quinidine.]
[C01BA02, procainamide, Quinidine may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Procaine.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Quinidine.]
[G03DA04, progesterone, The metabolism of Quinidine can be decreased when combined with Progesterone.]
[N05AA03, promazine, Promazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Promethazine.]
[C01BC03, propafenone, Quinidine may decrease the QTc-prolonging activities of Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Quinidine.]
[N05AC01, periciazine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Propiomazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Quinidine.]
[N01AX10, propofol, The metabolism of Quinidine can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Quinidine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Quinidine.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Quinidine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B01AC09, epoprostenol, The therapeutic efficacy of Epoprostenol can be increased when used in combination with Quinidine.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Quinidine.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, Quinidine may decrease the excretion rate of Aripiprazole which could result in a higher serum level.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Quinidine is combined with Dalfampridine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Quinidine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Quinidine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Quinidine is combined with Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P02CC01, pyrantel, The therapeutic efficacy of Pyrantel can be increased when used in combination with Quinidine.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N07XX04, sodium oxybate, Sodium oxybate may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The serum concentration of Quinidine can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Quinidine.]
[C02AA01, rescinnamine, Quinidine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Quinidine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Quinidine can be decreased when it is combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Quinidine.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Quinidine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[J01AA09, rolitetracycline, The risk or severity of neuromuscular blockade can be increased when Quinidine is combined with Rolitetracycline.]
[J01FA06, roxithromycin, The metabolism of Quinidine can be decreased when combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05CA06, secobarbital, The metabolism of Quinidine can be increased when combined with Secobarbital.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Quinidine.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Quinidine.]
[J01GB08, sisomicin, Sisomicin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A12CD01, sodium fluoride, Sodium fluoride may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[H01CB01, somatostatin, The metabolism of Quinidine can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C07AA07, sotalol, Sotalol may increase the arrhythmogenic activities of Quinidine.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Quinidine.]
[C03DA01, spironolactone, Quinidine may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
